0, 16 7 -1 1 -1 1 -2 3;
1, 16 16;
2, 16 13 -1 1 1;
3, 2 -2 1 -2 9 16;
4, 16 1 -3 1 -2 9;
5, 16 12 -1 2 -1;
6, 16 9 -1 5 -1;
7, 9 -1 1 -2 3 16;
8, 6 -3 1 1 -1 3 -1 16;
9, -1 4 -1 1 -2 3 -2 1 -2 8 -1 1 -1 1 -2 1;
10, 15 -1 15 -1;
11, 16 3 -1 1 -2 4 -1 1 -3;
12, 16 7 -1 1 -1 1 -2 3;
13, 16 16;
14, 16 16;
15, 16 16;
16, 16 16;
17, 16 16;

